,name,price,discount,rating,bank,total_review
0,Samsung Galaxy Book5 AI Metal Intel Core Ultra 5 225U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Th...,"₹76,689",23% off,4.6,Upto,174 Ratings & 15 Reviews
1,ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70501WS ...,"₹33,990",51% off,4.3,Upto,"2,367 Ratings & 212 Reviews"
2,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹35,990",37% off,4.4,Upto,"7,146 Ratings & 709 Reviews"
3,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,"₹47,690",39% off,4.4,Upto,"12,735 Ratings & 1,018 Reviews"
4,"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Qualcomm Snapdragon ...","₹54,990",40% off,4.5,Top Discount of the Sale,347 Ratings & 26 Reviews
5,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"₹51,890",37% off,4.4,Only 3 left,"12,735 Ratings & 1,018 Reviews"
6,ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹29,240",35% off,4.3,Top Discount of the Sale,879 Ratings & 60 Reviews
7,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"₹40,990",27% off,4.3,Top Discount of the Sale,"1,142 Ratings & 80 Reviews"
8,"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i7 13th Gen 1362...","₹58,990",40% off,4.5,Only 2 left,79 Ratings & 3 Reviews
9,"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...","₹32,990",35% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
10,GIGABYTE G Series Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹78,990",51% off,4.4,Only few left,41 Ratings & 6 Reviews
11,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,"₹25,990",39% off,4.2,Upto,"4,529 Ratings & 344 Reviews"
12,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5542WS ...,"₹37,579",32% off,4.2,Top Discount of the Sale,623 Ratings & 32 Reviews
13,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹32,990",34% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
14,Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH...,"₹67,990",39% off,4.4,Upto,489 Ratings & 52 Reviews
15,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹49,990",36% off,4.4,Top Discount of the Sale,102 Ratings & 7 Reviews
16,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...","₹32,990",36% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
17,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹47,990",34% off,4.3,Top Discount of the Sale,344 Ratings & 33 Reviews
18,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 H...","₹45,985",35% off,4.3,Top Discount of the Sale,857 Ratings & 48 Reviews
19,Lenovo IdeaPad Slim 5 WUXGA OLED Full Metal Body Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windo...,"₹64,990",33% off,4.8,Top Discount of the Sale,16 Ratings & 1 Reviews
20,Acer Aspire AMD Ryzen 5 Hexa Core 7430U - (16 GB/1 TB SSD/Windows 11 Home) AS15-42 Thin and Light Lapt...,"₹37,990",30% off,4.1,Top Discount of the Sale,"2,363 Ratings & 268 Reviews"
21,Acer Aspire 3 (2025) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Aspire 3 A325-5...,"₹41,390",51% off,4.6,Top Discount of the Sale,13 Ratings & 1 Reviews
22,"DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530,Vostro 3530 RPL Thin...","₹32,990",29% off,4.1,Top Discount of the Sale,355 Ratings & 13 Reviews
23,"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹32,990",35% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
24,Infinix X Air Pro+ Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) XL434 Thin and Li...,"₹36,990",47% off,4.4,Top Discount of the Sale,76 Ratings & 10 Reviews
25,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen 1335U...","₹45,990",33% off,4.3,Upto,857 Ratings & 48 Reviews
26,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹35,990",37% off,4.4,Upto,"7,146 Ratings & 709 Reviews"
27,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,"₹47,690",39% off,4.4,Upto,"12,735 Ratings & 1,018 Reviews"
28,HP 15 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 15 Thin and Light Laptop,"₹24,990",44% off,3.9,Only few left,139 Ratings & 7 Reviews
29,Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,"₹36,999",55% off,4.2,Only few left,"6,692 Ratings & 557 Reviews"
30,ASUS Vivobook 16X (2025) with Office 2024 + M365 Basic* Intel Core i5 13th Gen 13420H - (16 GB/512 GB ...,"₹59,990",33% off,4.2,Top Discount of the Sale,800 Ratings & 41 Reviews
31,MSI Modern 14 C13M Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M-115...,"₹27,990",52% off,4.1,Top Discount of the Sale,15 Ratings & 2 Reviews
32,ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹29,240",35% off,4.3,Top Discount of the Sale,879 Ratings & 60 Reviews
33,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"₹40,990",27% off,4.3,Top Discount of the Sale,"1,142 Ratings & 80 Reviews"
34,"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Qualcomm Snapdragon X - (16 ...","₹49,999",39% off,4.5,Top Discount of the Sale,148 Ratings & 15 Reviews
35,Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,"₹27,490",46% off,4.2,Only few left,875 Ratings & 68 Reviews
36,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5542WS ...,"₹37,579",32% off,4.2,Top Discount of the Sale,623 Ratings & 32 Reviews
37,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹32,990",34% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
38,DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i5 13th Gen 1334U - (16 GB/1 TB SSD/Windows 11 Home...,"₹54,990",31% off,4.2,Upto,312 Ratings & 14 Reviews
39,Acer Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop,"₹29,990",37% off,4.2,Upto,"4,529 Ratings & 344 Reviews"
40,Lenovo IdeaPad Slim 3 Backlit Keyboard with MSO'2024 Intel Core i5 13th Gen 13420H - (24 GB/1 TB SSD/W...,"₹57,990",34% off,4.2,Top Discount of the Sale,21 Ratings & 1 Reviews
41,Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,"₹49,999",46% off,4.3,Top Discount of the Sale,101 Ratings & 7 Reviews
42,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...","₹32,990",36% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
43,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹47,990",34% off,4.3,Top Discount of the Sale,344 Ratings & 33 Reviews
44,"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...","₹43,990",32% off,4.3,Top Discount of the Sale,471 Ratings & 32 Reviews
45,Neopticon BrowseBook Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) BBN40825614 Lap...,"₹16,990",51% off,3.7,Bank Offer,72 Ratings & 5 Reviews
46,"DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530,Vostro 3530 RPL Thin...","₹32,990",29% off,4.1,Top Discount of the Sale,355 Ratings & 13 Reviews
47,"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹32,990",35% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
48,Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,"₹29,990",47% off,4.1,Top Discount of the Sale,"2,111 Ratings & 165 Reviews"
49,Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,"₹64,999",24% off,4.7,Top Discount of the Sale,"6,246 Ratings & 376 Reviews"
50,"Acer Aspire 14 with Backlit Keyboard, Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Hom...","₹45,990",38% off,4.3,Upto,"5,575 Ratings & 492 Reviews"
51,Acer Aspire 14 AI Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) A14-11M Thin and Light La...,"₹43,999",52% off,4.9,Top Discount of the Sale,12 Ratings & 3 Reviews
52,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹35,990",37% off,4.4,Upto,"7,146 Ratings & 709 Reviews"
53,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,"₹47,690",39% off,4.4,Upto,"12,735 Ratings & 1,018 Reviews"
54,"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Celeron Dual Core N...","₹23,990",36% off,3.8,Upto,19 Ratings & 2 Reviews
55,ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB ...,"₹37,990",28% off,4.2,Only 2 left,"2,472 Ratings & 162 Reviews"
56,ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹29,240",35% off,4.3,Top Discount of the Sale,879 Ratings & 60 Reviews
57,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"₹40,990",27% off,4.3,Top Discount of the Sale,"1,142 Ratings & 80 Reviews"
58,Lenovo LOQ Intel Core i5 13th Gen 13450HX - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹70,990",28% off,4.3,Upto,"2,193 Ratings & 169 Reviews"
59,ASUS Expertbook P1 High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Window...,"₹64,990",50% off,4.3,Top Discount of the Sale,537 Ratings & 44 Reviews
60,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹47,990",34% off,4.3,Top Discount of the Sale,344 Ratings & 33 Reviews
61,"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Qualcomm Snapdragon X - (16 ...","₹49,999",39% off,4.5,Top Discount of the Sale,148 Ratings & 15 Reviews
